#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
13631A;CERANS FOULLETOURTE BP;Bureau de poste;1 PLACE PIERRE BELON; ; ;72330;CERANS FOULLETOURTE;FRANCE;47.827;0.074987;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
13632A;CHAHAIGNES AP;Relais poste commerçant;2 RUE DE LA FONTAINE MAROT;MME KATIA ROQUET PROXI; ;72340;CHAHAIGNES;FRANCE;47.7408;0.508385;Géocodé au milieu de la rue;0243444617;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13633A;CHALLES AP;Relais poste commerçant;7 RUE LUCIEN CORBIN;M MME EVRARD; ;72250;CHALLES;FRANCE;47.9301;0.417039;Géocodé au milieu de la rue;0243758109;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13634A;CHAMPAGNE;Bureau de poste;24 RUE JACQUES GUEDE;;;72470;CHAMPAGNE;FRANCE;48.024068;0.333643;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
13635A;CHANGE BP;Bureau de poste;7 PLACE DE L EGLISE;;;72560;CHANGE;FRANCE;47.98748;0.2819;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
13636A;CHANTENAY VILLEDIEU AP;Agence postale commnunale;4 RUE DE LA LIBERATION; ; ;72430;CHANTENAY VILLEDIEU;FRANCE;47.9197;-0.162384;Géocodé au milieu de la rue;0243921005;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13637A;LA CHAPELLE D ALIGNE AP;Agence postale commnunale;25 RUE DU MAINE; ; ;72300;LA CHAPELLE D ALIGNE;FRANCE;47.7338;-0.235456;Géocodé au numéro;0243455062;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13638A;LA CHAPELLE GAUGAIN AP;Relais poste commerçant;1 RUE DE GRILLE VERTE;EPICERIE CHEZ CLAUDINE BESNARD; ;72310;LA CHAPELLE GAUGAIN;FRANCE;47.7992;0.681312;Géocodé au milieu de la rue;0243630266;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13639A;LA CHAPELLE SAINT AUBIN AP;Relais poste commerçant;35 BIS RUE DE L EUROPE;M VEAU LE CAPELLA; ;72650;LA CHAPELLE ST AUBIN;FRANCE;48.034706;0.16046;Géocodé au numéro;0243476229;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13640A;LA CHAPELLE SAINT REMY AP;Agence postale commnunale;2 RUE DES LILAS; ; ;72160;LA CHAPELLE ST REMY;FRANCE;48.1069;0.454778;Géocodé au milieu de la rue;0243934600;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13641A;LA CHARTRE SUR LE LOIR BP;Bureau de poste;PLACE DE L HOTEL DE VILLE; ; ;72340;LA CHARTRE SUR LE LOIR;FRANCE;47.7301;0.572145;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
13642A;CHATEAU DU LOIR;Bureau de poste;9 PLACE LEMONNIER;;;72500;CHATEAU DU LOIR;FRANCE;47.694321;0.418811;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non
13643A;CHAUFOUR NOTRE DAME AP;Agence postale commnunale;8 RUE NATIONALE; ; ;72550;CHAUFOUR NOTRE DAME;FRANCE;48.0255;0.074411;Géocodé au milieu de la rue;0243888000;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13644A;CHEMIRE LE GAUDIN AP;Relais poste commerçant;33 RUE DU RENOM;LE BRIGPHILL;;72210;CHEMIRE LE GAUDIN;FRANCE;47.9282;-0.013254;Géocodé au milieu de la rue;0243881979;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13645A;CHENU AP;Agence postale commnunale;LIEU DIT BOURG; ; ;72500;CHENU;FRANCE;47.6135;0.338148;Géocodé au centre de la commune;0243460100;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13646A;CHERANCE AP;Relais poste commerçant;34 RUE DE LA 2EME DB;A LA BONNE FRANQUETTE; ;72170;CHERANCE;FRANCE;48.2841;0.174411;Géocodé au milieu de la rue;0243971411;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13647A;CHERRE AP;Agence postale commnunale;31 R PRINCESSE ALICE DE MONACO; ; ;72400;CHERRE;FRANCE;48.173108;0.656422;Géocodé au numéro;0243931611;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13648A;CLERMONT CREANS AP;Relais poste commerçant;33 RUE NATIONALE;M RONAN JAFFRY; ;72200;CLERMONT CREANS;FRANCE;47.7174;-0.016404;Géocodé au numéro;0243480749;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
13649A;CONGE SUR ORNE AP;Relais poste commerçant;4 RUE DES ROSIERS;AUX ROSIERS FLEURIS;;72290;CONGE SUR ORNE;FRANCE;48.1996;0.253153;Géocodé au milieu de la rue;0243341025;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13650A;CONLIE BP;Bureau de poste;1 B RUE DE GAUCHER; ; ;72240;CONLIE;FRANCE;48.1226;-0.017782;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non
13651A;CONNERRE;Bureau de poste;2 RUE DE LA JATTERIE;;;72160;CONNERRE;FRANCE;48.0558;0.492224;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
13652A;PONCE SUR LE LOIR AP;Relais poste commerçant;PLACE DE LA FONTAINE SAINT JULIEN;M MME MAUGUIN; ;72340;PONCE SUR LE LOIR;FRANCE;47.7617;0.656414;Géocodé au centre de la commune;0243444532;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13653A;EVAILLE AP;Relais poste commerçant;LE BOURG;BOULANGERIE POUSSE DIMITRI; ;72120;EVAILLE;FRANCE;47.8999;0.630576;Géocodé au centre de la commune;0243351307;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13654A;CORMES AP;Relais poste commerçant;2 RUE HENRI POUSSIN;BOULANGERIE RAGOT;;72400;CORMES;FRANCE;;;Non renseigné;0243932431;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13655A;COUDRECIEUX AP;Agence postale commnunale;21 RUE DE LA MAIRIE; ; ;72440;COUDRECIEUX;FRANCE;47.9925;0.632512;Géocodé au milieu de la rue;0243359217;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13656A;COULAINES BP;Bureau de poste;16 RUE DE LA PAIX; ; ;72190;COULAINES;FRANCE;48.0241;0.203611;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non
13657A;COULANS SUR GEE BP;Bureau de poste;35 RUE NATIONALE; ; ;72550;COULANS SUR GEE;FRANCE;48.0192;0.007739;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
13658A;COULONGE AP;Agence postale commnunale;7 RUE DE LA MAIRIE; ; ;72800;COULONGE;FRANCE;47.6897;0.200483;Géocodé au centre de la commune;0243466240;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13659A;COURCELLES LA FORET AP;Agence postale commnunale;LIEU DIT LE BOURG; ; ;72270;COURCELLES LA FORET;FRANCE;47.7852;-0.017268;Géocodé au centre de la commune;0243457218;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13660A;COURCEMONT AP;Relais poste commerçant;16 RUE DE LA LIBERATION;AUX PORTES DU MAINE MME DONNE; ;72110;COURCEMONT;FRANCE;48.1734;0.350585;Géocodé au milieu de la rue;0243296476;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13661A;CRISSE AP;Agence postale commnunale;2 RUE DU POMMERAY;;;72140;CRISSE;FRANCE;48.1682;-0.059674;Géocodé au milieu de la rue;0243288804;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13662A;COURDEMANCHE AP;Agence postale commnunale;8 RUE NEUVE;;;72150;COURDEMANCHE;FRANCE;47.8122;0.563718;Géocodé au milieu de la rue;0243448610;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13664A;COURGENARD AP;Agence postale commnunale;1 RUE DE LA  VIEILLE  COUR;;;72320;COURGENARD;FRANCE;48.1501;0.737401;Géocodé au numéro;0243715875;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
