#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
01870A;PLAISANCE BP;Bureau de poste;BOURG DE PLAISANCE;;;12550;PLAISANCE;FRANCE;43.92741;2.54782;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01871A;PONT DE SALARS BP;Bureau de poste;PLACE DU CAPITAINE ESCUDIER; ; ;12290;PONT DE SALARS;FRANCE;44.280209;2.728338;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01872A;PRADES D AUBRAC AP;Relais poste commerçant;LE BOURG; ; ;12470;PRADES D AUBRAC;FRANCE;44.5339;2.93883;Géocodé au centre de la commune;0565446840;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01873A;RECOULES PREVINQUIERES AP;Agence postale commnunale; ;LE BOURG; ;12150;RECOULES PREVINQUIERES;FRANCE;44.3413;2.96786;Géocodé au centre de la commune;0565604824;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01874A;REQUISTA;Bureau de poste;6 BOULEVARD VICOMTES DE CADARS;;;12170;REQUISTA;FRANCE;44.032909;2.536053;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01875A;RIEUPEYROUX;Bureau de poste;ROUTE DU FOIRAIL; ; ;12240;RIEUPEYROUX;FRANCE;44.30744;2.236946;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01876A;RIGNAC BP;Bureau de poste;PLACE DU PORTAIL BAS; ; ;12390;RIGNAC;FRANCE;44.4096;2.29057;Géocodé au milieu de la rue;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui
01877A;RIVIERE SUR TARN BP;Bureau de poste;RTE NATIONALE 107; ; ;12640;RIVIERE SUR TARN;FRANCE;44.188551;3.132893;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01878A;RODEZ R P;Bureau de poste;PLACE DU MARECHAL FOCH;;;12000;RODEZ;FRANCE;44.3502;2.57386;Géocodé au milieu d un îlot;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
01879A;ROQUEFORT SUR SOULZON AP;Agence postale commnunale;PLACE DE L EGLISE; ; ;12250;ROQUEFORT SUR SOULZON;FRANCE;43.976132;2.9901;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01880A;SAINT AFFRIQUE;Bureau de poste;PLACE LONJON RAYNAUD;;;12400;ST AFFRIQUE;FRANCE;43.9577;2.888889;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01881A;SAINT AMANS DES COTS;Bureau de poste;AU BOURG;;;12460;ST AMANS DES COTS;FRANCE;44.6889;2.65952;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01882A;SAINT ANDRE DE NAJAC AP;Agence postale commnunale;LE BOURG; ; ;12270;ST ANDRE DE NAJAC;FRANCE;44.1899;2.0401;Géocodé au centre de la commune;0565657250;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01883A;SAINT BEAUZELY BP;Bureau de poste;AU BOURG; ; ;12620;ST BEAUZELY;FRANCE;44.1659;2.95787;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01884A;SAINT CHELY D AUBRAC BP;Bureau de poste;AU BOURG;;;12470;ST CHELY D AUBRAC;FRANCE;44.5903;2.92084;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01885A;SAINT CHRISTOPHE VALLON AP;Agence postale commnunale;LE BOURG; ; ;12330;ST CHRISTOPHE VALLON;FRANCE;44.4699;2.41088;Géocodé au centre de la commune;0565616491;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01886A;SAINT COME D OLT APC AP;Agence postale commnunale;VILLAGE ST COME D OLT; ; ;12500;ST COME D OLT;FRANCE;44.5159;2.80761;Géocodé au centre de la commune;0565446709;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01887A;SAINT CYPRIEN SUR DOURDOU BP;Bureau de poste;LE BOURG; ; ;12320;ST CYPRIEN SUR DOURDOU;FRANCE;44.5475;2.41129;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01888A;SAINT FELIX DE SORGUES AP;Agence postale commnunale;LE BOURG; ; ;12400;ST FELIX DE SORGUES;FRANCE;43.8836;2.98449;Géocodé au centre de la commune;0565991003;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01889A;SAINTE GENEVIEVE SUR ARGENCE BP;Bureau de poste; ; ; ;12420;STE GENEVIEVE SUR ARGENCE;FRANCE;44.8033;2.75866;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01890A;SAINT GENIEZ D OLT BP;Bureau de poste;RUE DU COURS; ; ;12130;ST GENIEZ D OLT;FRANCE;44.4651;2.97282;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui
01891A;SAINT GEORGES DE LUZENCON BP;Bureau de poste;4 RUE DE LA FONTAINE VIEILLE;ROUTE NATIONALE 592;;12100;ST GEORGES DE LUZENCON;FRANCE;44.063849;2.98495;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01892A;SAINT HIPPOLYTE AP;Agence postale commnunale;VILLAGE DE ST HIPPOLYTE; ; ;12140;ST HIPPOLYTE;FRANCE;44.7108;2.59184;Géocodé au centre de la commune;0565661450;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01893A;SAINT JEAN DU BRUEL BP;Bureau de poste;PLACE DE LA BORIE;;;12230;ST JEAN DU BRUEL;FRANCE;44.0231;3.35981;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01894A;SAINT LAURENT D OLT AP;Agence postale commnunale;LE BOURG;MAIRIE;;12560;ST LAURENT D OLT;FRANCE;44.4458;3.11084;Géocodé au centre de la commune;0565611670;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01895A;SAINT LEONS AP;Agence postale commnunale;LE BOURG;MAIRIE;;12780;ST LEONS;FRANCE;44.2156;2.98597;Géocodé au centre de la commune;0565618600;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01896A;SAINT MARTIN DE LENNE AP;Agence postale commnunale;LE BOURG; ; ;12130;ST MARTIN DE LENNE;FRANCE;44.4314;2.96481;Géocodé au centre de la commune;0565474080;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01897A;SAINTE RADEGONDE AP;Agence postale commnunale;VILLAGE DE SAINTE RADEGONDE; ; ;12850;STE RADEGONDE;FRANCE;44.3384;2.62745;Géocodé au centre de la commune;0565427406;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01898A;SAINT ROME DE CERNON BP;Bureau de poste;AVENUE DE LA REPUBLIQUE; ; ;12490;ST ROME DE CERNON;FRANCE;44.011086;2.963337;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01898B;LES BRUYERES AP;Agence postale commnunale;2 ALLEE MARC BIRKIGT;ZAC LES BRUYERES;;92270;BOIS COLOMBES;FRANCE;48.9088;2.26189;Géocodé au numéro;0156837512;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01899A;SAINT ROME DE TARN BP;Bureau de poste;AVENUE SAINT FERREOL; ; ;12490;ST ROME DE TARN;FRANCE;44.04864;2.897714;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01899B;ST ETIENNE DE CHOMEIL AP;Relais poste commerçant;LE BOURG;RESTAURANT LES GLYCINES;;15400;ST ETIENNE DE CHOMEIL;FRANCE;45.3431;2.60211;Géocodé au numéro;0471783262;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01900A;SAINT SALVADOU AP;Agence postale commnunale; ; ; ;12200;ST SALVADOU;FRANCE;44.2798;2.09963;Géocodé au centre de la commune;0565299486;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01901A;SAINT SANTIN AP;Agence postale commnunale;AGGLOMERATION SAINT SANTIN; ; ;12300;ST SANTIN;FRANCE;44.6484;2.21861;Géocodé au milieu de la rue;0565640679;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01902A;SAINT SATURNIN DE LENNE AP;Agence postale commnunale;LE BOURG; ; ;12560;ST SATURNIN DE LENNE;FRANCE;44.4238;3.01864;Géocodé au centre de la commune;0565704200;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01903A;SAINT SERNIN SUR RANCE BP;Bureau de poste;LE BOURG; ; ;12380;ST SERNIN SUR RANCE;FRANCE;43.8841;2.603;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01904A;SAINT SEVER DU MOUSTIER AP;Agence postale commnunale; ;LE BOURG; ;12370;ST SEVER DU MOUSTIER;FRANCE;43.7759;2.69926;Géocodé au centre de la commune;0565993569;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01905A;SALLES COURBATIERS AP;Agence postale commnunale;LE BOURG; ; ;12260;SALLES COURBATIES;FRANCE;44.4709;2.07985;Géocodé au centre de la commune;0565815379;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01906A;SALLES CURAN BP;Bureau de poste;RUE DE LA CONFRERIE; ; ;12410;SALLES CURAN;FRANCE;44.182123;2.78769;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
01907A;SALLES LA SOURCE SOUYRI BP;Bureau de poste;VILLAGE; ; ;12330;SALLES LA SOURCE;FRANCE;44.4366;2.51352;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01908A;SALMIECH AP;Agence postale commnunale;LE BOURG;MAIRIE;;12120;SALMIECH;FRANCE;44.1818;2.56807;Géocodé au centre de la commune;0565464070;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01909A;CAUSSE ET DIEGE GELLE AP;Agence postale commnunale;GELLE; ; ;12700;CAUSSE ET DIEGE;FRANCE;44.5126;2.04338;Géocodé au centre de la commune;0565646112;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01910A;LA SALVETAT PEYRALES BP;Bureau de poste;12 PLACE ANDRE CALVIGNAC; ; ;12440;LA SALVETAT PEYRALES;FRANCE;44.219677;2.202104;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
01911A;SANVENSA AP;Agence postale commnunale;LE BOURG; ; ;12200;SANVENSA;FRANCE;44.2935;2.04907;Géocodé au milieu de la rue;0565298065;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01912A;SAUCLIERES AP;Agence postale commnunale;LE BOURG; ; ;12230;SAUCLIERES;FRANCE;43.9763;3.36735;Géocodé au centre de la commune;0565622083;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01913A;SAUVETERRE DE ROUERGUE BP;Bureau de poste;TOUR DE VILLE;;;12800;SAUVETERRE DE ROUERGUE;FRANCE;44.2214;2.31776;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01914A;SEBAZAC CONCOURES BP;Bureau de poste;2 RUE DU CHATEAU;;;12740;SEBAZAC CONCOURES;FRANCE;44.404822;2.59788;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01915A;SEBRAZAC AP;Agence postale commnunale; ; ; ;12190;SEBRAZAC;FRANCE;44.5256;2.65738;Géocodé au centre de la commune;0565443927;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01916A;SEGUR AP;Agence postale commnunale;VILLAGE SEGUR; ; ;12290;SEGUR;FRANCE;44.293;2.83424;Géocodé au centre de la commune;0565696500;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01917A;LA SELVE AP;Agence postale commnunale;LE BOURG; ; ;12170;LA SELVE;FRANCE;44.1113;2.53607;Géocodé au centre de la commune;0565467313;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01918A;SENERGUES AP;Agence postale commnunale; ; ;LE BOURG;12320;SENERGUES;FRANCE;44.6052;2.48517;Géocodé au centre de la commune;0565698600;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01919A;SEVERAC LE CHATEAU BP;Bureau de poste;AVENUE PIERRE SEMARD; ; ;12150;SEVERAC LE CHATEAU;FRANCE;44.325738;3.059016;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01920A;SONNAC AP;Agence postale commnunale;REMISE DE SONNAC; ; ;12700;SONNAC;FRANCE;44.5478;2.1098;Géocodé au centre de la commune;0565647070;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01921A;SOULAGES BONNEVAL AP;Relais poste commerçant;LE BOURG;;;12210;SOULAGES BONNEVAL;FRANCE;44.6766;2.78932;Géocodé au centre de la commune;0565484383;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01922A;LA TERRISSE AP;Relais poste commerçant;LE BOURG;;;12210;LA TERRISSE;FRANCE;44.755;2.81876;Géocodé au centre de la commune;0565443520;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01923A;THERONDELS AP;Agence postale commnunale; ; ; ;12600;THERONDELS;FRANCE;44.8961;2.75854;Géocodé au centre de la commune;0565664826;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01924A;TOURNEMIRE AP;Agence postale commnunale;LE BOURG;;;12250;TOURNEMIRE;FRANCE;43.969498;3.020028;Géocodé au numéro;0565740645;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01925A;TREMOUILLES AP;Agence postale commnunale;VILLAGE TREMOUILLES; ; ;12290;TREMOUILLES;FRANCE;44.2454;2.64521;Géocodé au centre de la commune;0565475952;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01926A;LE TRUEL AP;Agence postale commnunale;VILLAGE LE TRUEL; ; ;12430;LE TRUEL;FRANCE;44.0493;2.75334;Géocodé au milieu de la rue;0565465860;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01927A;VABRE TIZAC AP;Agence postale commnunale;LE BOURG; ; ;12240;VABRE TIZAC;FRANCE;44.270051;2.150268;Géocodé au numéro;0565818290;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01928A;VABRES L ABBAYE BP;Bureau de poste;LE BOURG; ; ;12400;VABRES L ABBAYE;FRANCE;43.944;2.83635;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01929A;VALADY NUCES BP;Bureau de poste;LE BOURG; ;NUCES;12330;VALADY;FRANCE;44.4555;2.42676;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01930A;VEZINS DE LEVEZOU BP;Bureau de poste;VEZINS DU LEVEZOU; ; ;12780;VEZINS DE LEVEZOU;FRANCE;44.278834;2.951157;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01931A;VIALA DU TARN BP;Bureau de poste;;LE BOURG;;12490;VIALA DU TARN;FRANCE;44.0718;2.87761;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01932A;VILLECOMTAL BP;Bureau de poste;12 AVENUE JOSEPH VIDAL; ; ;12580;VILLECOMTAL;FRANCE;44.539;2.56031;Géocodé au milieu de la rue;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01933A;VILLEFRANCHE DE PANAT BP;Bureau de poste;5 AVENUE DU LEVEZOU; ; ;12430;VILLEFRANCHE DE PANAT;FRANCE;44.088198;2.704573;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01934A;VILLEFRANCHE DE ROUERGUE;Bureau de poste;PLACE JEAN JAURES;;;12200;VILLEFRANCHE DE ROUERGUE;FRANCE;44.3533;2.03421;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
01935A;VILLENEUVE BP;Bureau de poste;RUE CANTADUC; ; ;12260;VILLENEUVE;FRANCE;44.4357;2.033;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui
01936A;VIMENET AP;Agence postale commnunale;LE BOURG;;;12310;VIMENET;FRANCE;44.3997;2.92705;Géocodé au centre de la commune;0565696591;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01937A;VIVIEZ BP;Bureau de poste;AVENUE PAUL RAMADIER;;;12110;VIVIEZ;FRANCE;44.556373;2.217629;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01938A;BARAQUEVILLE BP;Bureau de poste;53 AVENUE DE RODEZ;;;12160;BARAQUEVILLE;FRANCE;44.277163;2.43669;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui
01939A;CURAN AP;Agence postale commnunale;LE BOURG; ; ;12410;CURAN;FRANCE;44.2001;2.85415;Géocodé au centre de la commune;0565463589;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01944A;AUBIN COMBES AP;Agence postale commnunale;1 RUE DES BLEUETS; ; ;12110;AUBIN;FRANCE;44.5397;2.26734;Géocodé au numéro;0565632077;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01945A;DECAZEVILLE FONTVERGNES AP;Relais poste commerçant;1 AVENUE PAUL RAMADIER; ; ;12300;DECAZEVILLE;FRANCE;44.555295;2.263516;Géocodé au numéro;0565434695;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01946A;SEVERAC LE CHATEAU AP;Relais poste commerçant;RUE DES DOUVES; ; ;12150;SEVERAC LE CHATEAU;FRANCE;44.322221;3.071183;Géocodé au numéro;0565716804;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01947A;RODEZ FAUBOURG BP;Bureau de poste;18 AVENUE TARAYRE;;;12000;RODEZ;FRANCE;;;Non renseigné;3631;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui
01948A;ONET LES COSTES ROUGES BP;Bureau de poste;17 RUE DES FAUVETTES;LES COSTES ROUGES;;12850;ONET LE CHATEAU;FRANCE;44.376068;2.570924;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01949A;AUBIN LE GUA BP;Bureau de poste;10 RUE PAUL LAFARGUE;;LE GUA;12110;AUBIN;FRANCE;44.5283;2.26407;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
01951A;AIX EN PROVENCE LA ROTONDE;Bureau de poste;SQUARE COLONEL MATTEI; ; ;13100;AIX EN PROVENCE;FRANCE;43.5258;5.44446;Géocodé au numéro;3631;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
01952A;ALLAUCH VILLAGE;Bureau de poste;11 COURS DU 11 NOVEMBRE;;;13190;ALLAUCH;FRANCE;43.3374;5.48235;Géocodé au numéro;3631;Oui;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
01953A;ALLEINS BP;Bureau de poste;26 RUE DE LA REPUBLIQUE;;;13980;ALLEINS;FRANCE;43.703469;5.161899;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01954A;ARLES LES LICES;Bureau de poste;5 BOULEVARD DES LICES;;;13200;ARLES;FRANCE;43.67531;4.629391;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
01955A;AUBAGNE COQUIERES;Bureau de poste;RUE DES COQUIERES;;;13400;AUBAGNE;FRANCE;43.2938;5.56639;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
01956A;AUREILLE BP;Bureau de poste;6 RUE DU MISTRAL;;;13930;AUREILLE;FRANCE;43.7067;4.9483;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01957A;AURIOL BP;Bureau de poste;CHEMIN DU CIMETIERE;IMMEUBLE L AGORA;;13390;AURIOL;FRANCE;43.368269;5.635316;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
01958A;AURONS AP;Agence postale commnunale;PLACE DES PLATANES; ; ;13121;AURONS;FRANCE;43.6643;5.15729;Géocodé au centre de la commune;0490556432;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01959A;BARBENTANE BP;Bureau de poste;19 COURS JEAN BAPTISTE REY;;;13570;BARBENTANE;FRANCE;43.9007;4.74855;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
01960A;AUBAGNE CENTRAL PARC BP;Bureau de poste;96 RUE DE LA REPUBLIQUE;;;13400;AUBAGNE;FRANCE;43.2893;5.57189;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non
01961A;BELCODENE AP;Agence postale commnunale;PLACE DE LA SAINTE BAUME; ; ;13720;BELCODENE;FRANCE;43.426208;5.589383;Géocodé au numéro;0442706920;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01962A;BERRE L ETANG;Bureau de poste;14 AVENUE ROGER SALENGRO;;;13130;BERRE L ETANG;FRANCE;43.478327;5.16955;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non
01963A;BOUC BEL AIR;Bureau de poste;PLACE JEAN MOULIN;;;13320;BOUC BEL AIR;FRANCE;43.4513;5.41253;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
01964A;LA BOUILLADISSE;Bureau de poste;BOULEVARD FRANCIS CAPUANO;;;13720;LA BOUILLADISSE;FRANCE;43.394855;5.593742;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
01964B;CHICONI AP;Agence postale commnunale;;AGENCE POSTALE COMMUNALE DE CHICONI;;97670;CHICONI;FRANCE;-12.8341;45.113;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01965A;BOULBON BP;Bureau de poste;8 PLACE VICTOR BARBERIN;;;13150;BOULBON;FRANCE;43.862994;4.693335;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01966A;CABANNES BP;Bureau de poste;GRAND RUE;;;13440;CABANNES;FRANCE;43.860678;4.949547;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01967A;CABRIES CALAS BP;Bureau de poste;AV MAL LECLERC DE HAUTECLOCQUE;ZAC DU PETIT LAC;CALAS;13480;CABRIES;FRANCE;43.465274;5.352045;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
01968A;CADOLIVE BP;Bureau de poste;24 AVENUE DU VILLAGE;LA POSTE;;13950;CADOLIVE;FRANCE;43.395239;5.545067;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01969A;CARRY LE ROUET;Bureau de poste;29 BOULEVARD EDMOND MONTUS;;;13620;CARRY LE ROUET;FRANCE;43.332381;5.153221;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non
01970A;CASSIS;Bureau de poste;3 RUE DE L ARENE;;;13260;CASSIS;FRANCE;43.213797;5.540203;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
01971A;CEYRESTE BP;Bureau de poste;5 PLACE JULIEN GRENIER;;;13600;CEYRESTE;FRANCE;43.214038;5.631612;Géocodé au numéro;3631;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
01972A;CHARLEVAL BP;Bureau de poste;70 PLACE DES ALLIES;;;13350;CHARLEVAL;FRANCE;43.719714;5.24226;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
01973A;CHATEAUNEUF LE ROUGE AP;Agence postale commnunale;PLACE AUGUSTE BARET; ; ;13790;CHATEAUNEUF LE ROUGE;FRANCE;43.489099;5.567834;Géocodé au numéro;0442586589;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
